凤凰中文,rtp://239.93.0.162:2192
凤凰资讯,rtp://239.93.0.118:2191
四川影视文艺,rtp://239.93.0.166:5140
四川乡村高清,rtp://239.93.0.52:5140
四川峨眉电影高清,rtp://239.93.0.252:5140
四川CDTV-1高清,rtp://239.93.0.16:5140
四川CDTV-2,rtp://239.93.0.17:1239
四川CDTV-3,rtp://239.93.0.18:1238
四川CDTV-4,rtp://239.93.0.19:1250
四川CDTV-5高清,rtp://239.93.1.231:5140
四川CDTV-6,rtp://239.93.0.21:1251
四川CDTV-8高清,rtp://239.93.0.22:1252
四川SCTV-2高清,rtp://239.93.1.101:5140
四川SCTV-3高清,rtp://239.93.1.102:5140
四川SCTV-4高清,rtp://239.93.0.47:5140
四川SCTV-5高清,rtp://239.93.0.166:5140
四川SCTV-6高清,rtp://239.93.1.144:5140
四川SCTV-7高清,rtp://239.93.0.219:5140
四川SCTV-科教高清,rtp://239.93.42.44:5140

